Internal ID,PO Num,PO Name,PO #,SO Num,SO Name,SO #,Date,Item,Quantity,Item Rate
388251,POQ3765,Purchase Order #POQ3765,PURCHORD6350,SOQ4493,Sales Order #SOQ4493,SALESORD5707,2022-11-30,LIC-ENT-5YR,12,274.71
388251,POQ3765,Purchase Order #POQ3765,PURCHORD6350,SOQ4493,Sales Order #SOQ4493,SALESORD5707,2022-11-30,MR56-HW,12,1217.90
371943,POQ3505,Purchase Order #POQ3505,PURCHORD5917,SOQ4068,Sales Order #SOQ4068,SALESORD4979,2022-11-04,F9W-00159,1,276.99
371943,POQ3505,Purchase Order #POQ3505,PURCHORD5917,SOQ4068,Sales Order #SOQ4068,SALESORD4979,2022-11-04,8XB-00001,1,170.32
371943,POQ3505,Purchase Order #POQ3505,PURCHORD5917,SOQ4068,Sales Order #SOQ4068,SALESORD4979,2022-11-04,4999-829-289,2,39.95
371943,POQ3505,Purchase Order #POQ3505,PURCHORD5917,SOQ4068,Sales Order #SOQ4068,SALESORD4979,2022-11-04,4X41C12468,5,25.18
447959,POQ4478,Purchase Order #POQ4478,PURCHORD7771,SOQ5116,Sales Order #SOQ5116,SALESORD6952,2023-01-10,KCP548SS8-16,4,95.43
447959,POQ4478,Purchase Order #POQ4478,PURCHORD7771,SOQ5116,Sales Order #SOQ5116,SALESORD6952,2023-01-10,21D6007MUS,1,2433.42
447959,POQ4478,Purchase Order #POQ4478,PURCHORD7771,SOQ5116,Sales Order #SOQ5116,SALESORD6952,2023-01-10,61F2GAR2US,2,674.35
447959,POQ4478,Purchase Order #POQ4478,PURCHORD7771,SOQ5116,Sales Order #SOQ5116,SALESORD6952,2023-01-10,F9A29D#B1K,1,3302.47
